SRA_ID,Origin,Endedness,Metadata,Raw_Reads,Original_Percent_Aligned,Rocketchip_Percent_Aligned
SRR14850825,CUT&RUN,Single,6hpf_H3K4me3_rep1,"31,343,063",77.19%,95.68%
SRR14850826,CUT&RUN,Single,6hpf_H3K4me3_rep2,"70,960,918",76.16%,95.41%
SRR14850827,CUT&RUN,Single,6hpf_H3K27me3_rep1,"26,960,471",70.93%,95.97%
SRR14850828,CUT&RUN,Single,6hpf_H3K27me3_rep2,"27,851,277",70.16%,95.34%
SRR14850829,CUT&RUN,Single,6hpf_H3K9me3_rep1,"22,214,067",22.03%,96.25%
SRR14850830,CUT&RUN,Single,6hpf_H3K9me3_rep2,"43,462,568",23.13%,96.19%
SRR14850831,CUT&RUN,Paired,6hpf_pol2_rep1,"9,842,850",73.38%,92.91%
SRR14850832,CUT&RUN,Paired,6hpf_pol2_rep2,"5,707,930",72.58%,92.45%
SRR14850833,CUT&RUN,Paired,6hpf_IgG,"8,094,912",59.14%,78.45%
SRR14870792,CUT&Tag,Paired,6hpf_H2AZ_Rep1,"1,233,216",91.34%,84.53%
SRR14870793,CUT&Tag,Paired,6hpf_H2AZ_Rep2,"1,447,412",90.22%,82.65%
SRR14870794,CUT&Tag,Paired,6hpf_H2AZ_Rep3,"3,135,635",90.80%,78.47%
SRR14870795,CUT&Tag,Paired,24hpf_H2AZ_Rep1,"23,376,962",93.17%,85.90%
SRR14870796,CUT&Tag,Paired,24hpf_H2AZ_Rep2,"28,652,092",94.05%,85.68%
SRR14870797,CUT&Tag,Paired,24hpf_H2AZ_Rep3,"23,810,168",93.61%,85.51%
