Endedness,Peak_Type,Test_Dataset,Name,Stacks,Reads_Per_Stack,Padding,Std_Dev,Width,Length,Paired,Flank
paired,narrow,1,exp_a,1000,4,2500,0.1,400,150,10,2000
paired,narrow,1,exp_b,1000,4,2500,0.1,400,150,10,2000
paired,narrow,2,exp_a,1000,8,2500,0.1,400,150,10,2000
paired,narrow,2,exp_b,1000,8,2500,0.1,400,150,10,2000
paired,narrow,3,exp_a,1000,16,2500,0.1,400,150,10,2000
paired,narrow,3,exp_b,1000,16,2500,0.1,400,150,10,2000
paired,narrow,4,exp_a,1000,32,2500,0.1,400,150,10,2000
paired,narrow,4,exp_b,1000,32,2500,0.1,400,150,10,2000
paired,narrow,5,exp_a,1000,64,2500,0.1,400,150,10,2000
paired,narrow,5,exp_b,1000,64,2500,0.1,400,150,10,2000
paired,narrow,6,exp_a,1000,128,2500,0.1,400,150,10,2000
paired,narrow,6,exp_b,1000,128,2500,0.1,400,150,10,2000
paired,broad,1,exp_a,1000,4,5000,0.1,1500,150,10,2000
paired,broad,1,exp_b,1000,4,5000,0.1,1500,150,10,2000
paired,broad,2,exp_a,1000,8,5000,0.1,1500,150,10,2000
paired,broad,2,exp_b,1000,8,5000,0.1,1500,150,10,2000
paired,broad,3,exp_a,1000,16,5000,0.1,1500,150,10,2000
paired,broad,3,exp_b,1000,16,5000,0.1,1500,150,10,2000
paired,broad,4,exp_a,1000,32,5000,0.1,1500,150,10,2000
paired,broad,4,exp_b,1000,32,5000,0.1,1500,150,10,2000
paired,broad,5,exp_a,1000,64,5000,0.1,1500,150,10,2000
paired,broad,5,exp_b,1000,64,5000,0.1,1500,150,10,2000
paired,broad,6,exp_a,1000,128,5000,0.1,1500,150,10,2000
paired,broad,6,exp_b,1000,128,5000,0.1,1500,150,10,2000
single,narrow,1,exp_a,1000,4,2500,0.1,400,150,NA,2000
single,narrow,1,exp_b,1000,4,2500,0.1,400,150,NA,2000
single,narrow,2,exp_a,1000,8,2500,0.1,400,150,NA,2000
single,narrow,2,exp_b,1000,8,2500,0.1,400,150,NA,2000
single,narrow,3,exp_a,1000,16,2500,0.1,400,150,NA,2000
single,narrow,3,exp_b,1000,16,2500,0.1,400,150,NA,2000
single,narrow,4,exp_a,1000,32,2500,0.1,400,150,NA,2000
single,narrow,4,exp_b,1000,32,2500,0.1,400,150,NA,2000
single,narrow,5,exp_a,1000,64,2500,0.1,400,150,NA,2000
single,narrow,5,exp_b,1000,64,2500,0.1,400,150,NA,2000
single,narrow,6,exp_a,1000,128,2500,0.1,400,150,NA,2000
single,narrow,6,exp_b,1000,128,2500,0.1,400,150,NA,2000
single,broad,1,exp_a,1000,4,5000,0.1,1500,150,NA,2000
single,broad,1,exp_b,1000,4,5000,0.1,1500,150,NA,2000
single,broad,2,exp_a,1000,8,5000,0.1,1500,150,NA,2000
single,broad,2,exp_b,1000,8,5000,0.1,1500,150,NA,2000
single,broad,3,exp_a,1000,16,5000,0.1,1500,150,NA,2000
single,broad,3,exp_b,1000,16,5000,0.1,1500,150,NA,2000
single,broad,4,exp_a,1000,32,5000,0.1,1500,150,NA,2000
single,broad,4,exp_b,1000,32,5000,0.1,1500,150,NA,2000
single,broad,5,exp_a,1000,64,5000,0.1,1500,150,NA,2000
single,broad,5,exp_b,1000,64,5000,0.1,1500,150,NA,2000
single,broad,6,exp_a,1000,128,5000,0.1,1500,150,NA,2000
single,broad,6,exp_b,1000,128,5000,0.1,1500,150,NA,2000
